from_id,from_login,from_name,to_id,to_login,to_name,followed_at,closure,follow_total,triad_set,k-connected,total-connected
48457849,tozmab,Tozmab,24687283,jorbs,jorbs,2021-02-08T05:02:05Z,1,71,"['Savjz', 'Anti_Flame', 'Celerity', 'AsmodaiTV', 'itsHafu', 'dogdog', 'Lethalfrag']","['itsHafu', 'dogdog', 'LEC', 'Lethalfrag', 'AsmodaiTV', 'Celerity', 'Amaz', 'pokimane', 'Riot Games', 'LCS']",10
550410595,shanehelp,shanehelp,24687283,jorbs,jorbs,2021-02-08T04:55:53Z,0,52,[],['pokimane'],1
108992280,repressedzebra1,RepressedZebra1,24687283,jorbs,jorbs,2021-02-08T04:40:01Z,1,151,"['AsmodaiTV', 'BannHammR']","['AsmodaiTV', 'Amaz', 'Dyrus', 'Riot Games', 'LCS', 'AustinShow', 'Scarra']",7
174072569,arcanocrystal,Arcanocrystal,24687283,jorbs,jorbs,2021-02-08T04:31:53Z,1,211,"['AdmiralBahroo', 'Quin69', 'dogdog', 'itsHafu', 'AnnieFuchsia']","['Quin69', 'itsHafu', 'dogdog', 'nl_Kripp', 'AdmiralBahroo', 'AnnieFuchsia', 'twlevewinsHS', 'NASA']",8
72941507,ozal1ce,ozal1ce,24687283,jorbs,jorbs,2021-02-08T04:26:06Z,1,29,['Fafrd'],"['Doublelift', 'imaqtpie', 'Pobelter', 'GMHikaru', 'Riot Games', 'LCS']",6
444146334,idgafomfglmfao,idgafomfglmfao,24687283,jorbs,jorbs,2021-02-08T04:22:46Z,1,101,"['Quin69', 'DonTheCrown']","['Quin69', 'Trainwreckstv', 'imaqtpie', 'RaizQT']",4
143069779,wanito,Wanito,24687283,jorbs,jorbs,2021-02-08T04:05:55Z,1,126,['Fareeha'],"['Chess', 'AOC']",2
172570591,mrkardos,mrkardos,24687283,jorbs,jorbs,2021-02-08T03:48:12Z,1,23,"['Alliestrasza', 'Savjz']",['Alliestrasza'],1
164888112,slicedown,Slicedown,24687283,jorbs,jorbs,2021-02-08T03:44:24Z,0,83,[],"['DeliciousMilkGG', 'pokimane', 'Riot Games', 'Becca', 'Scarra']",5
29137526,drayfas,Drayfas,24687283,jorbs,jorbs,2021-02-08T03:43:55Z,1,149,"['DarkTwinge', 'sips_', 'dogdog', 'Shadybunny', 'AsmodaiTV', 'pheylop', 'itsHafu', 'bmkibler', 'dreads', 'WobbleWeezy', 'Merl61']","['WobbleWeezy', 'itsHafu', 'dogdog', 'nl_Kripp', 'AsmodaiTV', 'Amaz', 'DarkTwinge', 'Shadybunny', 'superjj102', 'bmkibler', 'sips_']",11
